City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,somotillo,13.0433,-86.9064,89.22,35.0,16.0,8.9,NI,1706484775.0
73,invercargill,-46.4,168.35,64.02,78.0,18.0,8.01,NZ,1706484775.0
74,whitehorse,60.7161,-135.0538,38.17,81.0,75.0,12.66,CA,1706484499.0
75,hithadhoo,-0.6,73.0833,82.45,71.0,60.0,12.73,MV,1706484547.0
76,mahina,-17.5065,-149.489,89.37,70.0,20.0,4.61,PF,1706484776.0
77,maues,-3.3836,-57.7186,75.0,98.0,94.0,4.61,BR,1706484776.0
78,sydney mines,46.2367,-60.2177,30.2,84.0,100.0,4.61,CA,1706484776.0
79,toga village,,,,,,,,
80,punta arenas,-53.15,-70.9167,59.11,51.0,75.0,23.02,CL,1706484518.0
81,yellowknife,62.456,-114.3525,7.32,85.0,100.0,2.3,CA,1706484777.0
82,uyar,55.81,94.3153,-6.95,100.0,97.0,4.36,RU,1706484777.0
83,pombas,17.1503,-25.0201,71.38,68.0,33.0,6.53,CV,1706484777.0
84,jamestown,42.097,-79.2353,34.02,100.0,100.0,12.66,US,1706484498.0
85,ilulissat,69.2167,-51.1,-9.38,59.0,100.0,14.97,GL,1706484526.0
86,kiyawa,,,,,,,,
87,shiqian,27.5225,108.2281,41.05,93.0,100.0,1.66,CN,1706484778.0
88,howrah,22.5892,88.3103,57.2,82.0,20.0,0.0,IN,1706484779.0
89,anadyr,64.75,177.4833,-25.01,74.0,0.0,5.99,RU,1706484779.0
90,saint-pierre,-21.3393,55.4781,76.68,94.0,100.0,5.75,RE,1706484779.0
91,ushuaia,-54.8,-68.3,60.46,44.0,40.0,11.5,AR,1706484510.0
92,sakaiminato,35.55,133.2333,35.53,100.0,75.0,1.14,JP,1706484779.0
93,lower hutt,-41.2167,174.9167,66.31,76.0,100.0,28.77,NZ,1706484780.0
94,hammerfest,70.6634,23.6821,36.05,75.0,40.0,19.57,NO,1706484780.0
95,vi,,,,,,,,
96,longyearbyen,78.2186,15.6401,10.24,79.0,0.0,10.36,SJ,1706484780.0
97,udachny,66.4167,112.4,-22.02,79.0,92.0,3.87,RU,1706484526.0
98,pirae,-17.5167,-149.5333,89.62,70.0,20.0,4.61,PF,1706484781.0
99,taiohae,,,,,,,,
100,okhotsk,59.3833,143.3,-11.4,74.0,75.0,12.46,RU,1706484781.0
101,la'ie,21.6477,-157.9253,80.56,91.0,27.0,1.99,US,1706484781.0
102,watsa,3.0372,29.5355,66.02,46.0,76.0,1.32,CD,1706484781.0
103,iskateley,67.6803,53.1512,20.12,94.0,100.0,13.82,RU,1706484580.0
104,port macquarie,-31.4333,152.9167,75.88,76.0,96.0,9.82,AU,1706484678.0
105,butte,39.6499,-121.5677,71.98,61.0,0.0,0.0,US,1706484782.0
106,kodiak,57.79,-152.4072,17.11,62.0,0.0,20.71,US,1706484782.0
107,kayangel,8.0823,134.7173,81.43,83.0,96.0,23.15,PW,1706484783.0
108,stanley,54.868,-1.6985,50.52,90.0,75.0,16.11,GB,1706484783.0
109,san patricio,28.017,-97.5169,69.75,49.0,0.0,5.99,US,1706484783.0
110,st. john's,47.5649,-52.7093,30.67,83.0,100.0,13.8,CA,1706484629.0
111,sitka,57.0531,-135.33,51.69,62.0,100.0,21.85,US,1706484783.0
112,kisangani,0.5167,25.2,72.86,45.0,97.0,2.53,CD,1706484614.0
113,sydney,-33.8679,151.2073,83.34,60.0,20.0,14.97,AU,1706484632.0
114,la ronge,55.1001,-105.2842,34.05,69.0,75.0,3.44,CA,1706484784.0
115,nelson,-41.2833,173.2833,77.29,55.0,5.0,1.99,NZ,1706484784.0
116,port elizabeth,-33.918,25.5701,70.32,75.0,0.0,10.36,ZA,1706484785.0
117,port mathurin,-19.6833,63.4167,81.45,81.0,82.0,13.73,MU,1706484785.0
118,taveta,-3.3963,37.6736,71.64,81.0,86.0,5.1,KE,1706484785.0
119,brookings,44.3114,-96.7984,39.2,75.0,0.0,8.05,US,1706484785.0
120,crane,31.3974,-102.3501,60.13,28.0,4.0,9.69,US,1706484785.0
121,wailua homesteads,22.0669,-159.378,79.59,76.0,40.0,20.71,US,1706484786.0
122,zhumysker,49.3333,49.4,17.71,87.0,100.0,9.31,KZ,1706484786.0
123,qaqortoq,60.7167,-46.0333,-13.41,63.0,11.0,9.75,GL,1706484786.0
124,truth or consequences,33.1284,-107.2528,59.92,32.0,0.0,5.75,US,1706484786.0
125,namtsy,62.7161,129.6658,-38.11,97.0,97.0,3.2,RU,1706484787.0
126,usinsk,65.9939,57.5281,10.08,94.0,100.0,18.01,RU,1706484787.0
127,portland,45.5234,-122.6762,66.29,88.0,100.0,5.01,US,1706484640.0
128,illapel,-31.6308,-71.1653,74.16,64.0,0.0,5.3,CL,1706484692.0
129,jiuquan,39.7432,98.5174,17.94,35.0,7.0,1.23,CN,1706484787.0
130,east london,-33.0153,27.9116,72.72,86.0,91.0,11.9,ZA,1706484788.0
131,rio preto da eva,-2.6994,-59.6997,78.22,82.0,97.0,3.47,BR,1706484788.0
132,fauske,67.2588,15.3918,48.24,91.0,100.0,11.99,NO,1706484788.0
133,codajas,-3.8367,-62.0569,72.48,99.0,99.0,2.42,BR,1706484788.0
134,nuuk,64.1835,-51.7216,-9.65,92.0,39.0,10.02,GL,1706484586.0
135,chonchi,-42.6128,-73.8092,63.12,66.0,1.0,3.04,CL,1706484789.0
136,reggane,26.7158,0.1714,64.8,18.0,3.0,13.15,DZ,1706484789.0
137,ribeira grande,38.5167,-28.7,58.77,68.0,100.0,11.99,PT,1706484789.0
138,ilhabela,-23.7781,-45.3581,75.22,90.0,63.0,1.16,BR,1706484789.0
139,kuanda,56.3161,116.0806,-34.71,96.0,79.0,0.81,RU,1706484790.0
140,georgetown,5.4112,100.3354,78.73,82.0,20.0,5.99,MY,1706484790.0
141,kish,26.5578,54.0194,68.27,49.0,0.0,13.8,IR,1706484790.0
142,quellon,-43.1167,-73.6167,56.44,67.0,3.0,8.95,CL,1706484790.0
143,la passe,45.5549,-0.8967,52.03,88.0,77.0,15.28,FR,1706484791.0
